date,equipe_dom,score_dom,score_ext,equipe_ext,classement_dom,classement_ext
21 mars 2018 Saison régulière,Phoenix Suns,,,Detroit Pistons,,
21 mars 2018 Saison régulière,Portland Trail Blazers,,,Houston Rockets,,
20 mars 2018 Saison régulière,Cleveland Cavaliers,,,Milwaukee Bucks,,
20 mars 2018 Saison régulière,Indiana Pacers,,,LA Lakers,,
20 mars 2018 Saison régulière,Philadelphia 76ers,,,Charlotte Hornets,,
20 mars 2018 Saison régulière,Miami Heat,,,Denver Nuggets,,
20 mars 2018 Saison régulière,New York Knicks,,,Chicago Bulls,,
20 mars 2018 Saison régulière,Brooklyn Nets,,,Memphis Grizzlies,,
20 mars 2018 Saison régulière,San Antonio Spurs,,,Golden State Warriors,,
20 mars 2018 Saison régulière,Sacramento Kings,,,Detroit Pistons,,
19 mars 2018 Saison régulière,Minnesota Timberwolves,,,Houston Rockets,,
19 mars 2018 Saison régulière,LA Clippers,,,Portland Trail Blazers,,
18 mars 2018 Saison régulière,New Orleans Pelicans,,,Houston Rockets,,
18 mars 2018 Saison régulière,Washington Wizards,,,Indiana Pacers,,
18 mars 2018 Saison régulière,New York Knicks,,,Charlotte Hornets,,
18 mars 2018 Saison régulière,Brooklyn Nets,,,Dallas Mavericks,,
18 mars 2018 Saison régulière,Chicago Bulls,,,Cleveland Cavaliers,,
18 mars 2018 Saison régulière,Memphis Grizzlies,,,Denver Nuggets,,
18 mars 2018 Saison régulière,Milwaukee Bucks,,,Atlanta Hawks,,
18 mars 2018 Saison régulière,San Antonio Spurs,,,Minnesota Timberwolves,,
18 mars 2018 Saison régulière,Utah Jazz,,,Sacramento Kings,,
18 mars 2018 Saison régulière,Phoenix Suns,,,Golden State Warriors,,
18 mars 2018 Saison régulière,Portland Trail Blazers,,,Detroit Pistons,,
18 mars 2018 Saison régulière,Toronto Raptors,,,Oklahoma City Thunder,,
18 mars 2018 Saison régulière,New Orleans Pelicans,,,Boston Celtics,,
17 mars 2018 Saison régulière,Orlando Magic,,,Boston Celtics,,
17 mars 2018 Saison régulière,Philadelphia 76ers,,,Brooklyn Nets,,
17 mars 2018 Saison régulière,Toronto Raptors,,,Dallas Mavericks,,
17 mars 2018 Saison régulière,Oklahoma City Thunder,,,LA Clippers,,
17 mars 2018 Saison régulière,Golden State Warriors,,,Sacramento Kings,,
17 mars 2018 Saison régulière,LA Lakers,,,Miami Heat,,
16 mars 2018 Saison régulière,Indiana Pacers,,,Toronto Raptors,,
16 mars 2018 Saison régulière,Atlanta Hawks,,,Charlotte Hornets,,
16 mars 2018 Saison régulière,New York Knicks,,,Philadelphia 76ers,,
16 mars 2018 Saison régulière,Houston Rockets,,,LA Clippers,,
16 mars 2018 Saison régulière,Memphis Grizzlies,,,Chicago Bulls,,
16 mars 2018 Saison régulière,San Antonio Spurs,,,New Orleans Pelicans,,
16 mars 2018 Saison régulière,Denver Nuggets,,,Detroit Pistons,,
16 mars 2018 Saison régulière,Utah Jazz,,,Phoenix Suns,,
16 mars 2018 Saison régulière,Portland Trail Blazers,,,Cleveland Cavaliers,,
15 mars 2018 Saison régulière,Orlando Magic,,,Milwaukee Bucks,,
15 mars 2018 Saison régulière,Boston Celtics,,,Washington Wizards,,
15 mars 2018 Saison régulière,Sacramento Kings,,,Miami Heat,,
15 mars 2018 Saison régulière,Golden State Warriors,,,LA Lakers,,
13 mars 2018 Saison régulière,Houston Rockets,,,San Antonio Spurs,,
13 mars 2018 Saison régulière,Memphis Grizzlies,,,Milwaukee Bucks,,
13 mars 2018 Saison régulière,Oklahoma City Thunder,,,Sacramento Kings,,
13 mars 2018 Saison régulière,Portland Trail Blazers,,,Miami Heat,,
14 mars 2018 Saison régulière,Philadelphia 76ers,,,Indiana Pacers,,
14 mars 2018 Saison régulière,Washington Wizards,,,Minnesota Timberwolves,,
14 mars 2018 Saison régulière,Atlanta Hawks,,,Oklahoma City Thunder,,
14 mars 2018 Saison régulière,New York Knicks,,,Dallas Mavericks,,
14 mars 2018 Saison régulière,Brooklyn Nets,,,Toronto Raptors,,
10 mars 2018 Saison régulière,Detroit Pistons,,,Chicago Bulls,,
14 mars 2018 Saison régulière,Chicago Bulls,,,LA Clippers,,
